id,nome,categoria,endereco_rua,numero,bairro,endereco_formatado,latitude,longitude,cuisine,site
11244404480,38º 41',Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.692852,-9.2104898,Não especificada,https://www.altishotels.com/altis-belem-spa/restaurantes-bares/
11503420251,Boi Novo Churrascaria,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4311751,-48.4592046,steak_house,
11503627000,Bar Suíço,Bar,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4313829,-48.4591634,Não especificada,
11504458213,Santo Buteco,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4432946,-48.4872452,Não especificada,
11592464558,Guelra,Restaurante,Rua de Belém,35,,"Rua de Belém, 35",38.6971813,-9.2023683,fish;shellfish,
11592519317,Canalha,Restaurante,Rua da Junqueira,207,,"Rua da Junqueira, 207",38.6973967,-9.1937118,Não especificada,
11595043403,Corações Com Coroa,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6971393,-9.195923,Não especificada,
11625822635,Casa do Café,Café,Avenida Central I,,Coqueiro,Avenida Central I - Coqueiro,-1.3311124,-48.4455719,coffee_shop,
11712538919,Sem Nome Registrado,Fast Food/Lanchonete,Rodovia Transcoqueiro,75,,"Rodovia Transcoqueiro, 75",-1.3727377,-48.4221984,Não especificada,
11736733754,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4527647,-48.5039371,Não especificada,
11736763404,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4527172,-48.5039637,Não especificada,
11736873419,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4528385,-48.5037575,Não especificada,
11736873420,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4528814,-48.5037615,Não especificada,
11736882967,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4527688,-48.5037964,Não especificada,
11736926256,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4527795,-48.5037535,Não especificada,
11736926257,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4526749,-48.5036449,Não especificada,
11736926258,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4526481,-48.5036167,Não especificada,
11736926259,Sem Nome Registrado,Fast Food/Lanchonete,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4524685,-48.5034504,Não especificada,
11784532601,Boi Prime,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.444502,-48.4604577,barbecue,
11872169860,Restaurante Dez Prá Uma,Restaurante,Avenida da Ilha da Madeira,22C,,"Avenida da Ilha da Madeira, 22C",38.7051257,-9.2072381,Não especificada,https://dezprauma.com/
11872289188,Restaurante O Canto da Marina,Restaurante,Rua João de Paiva,1A,,"Rua João de Paiva, 1A",38.7062413,-9.2072947,Não especificada,
11876641747,Café Benedita,Café,Rua Capitão-Mor Pedro Teixeira,9B,,"Rua Capitão-Mor Pedro Teixeira, 9B",38.7076427,-9.2074,coffee_shop,
11876664872,Graça Araújo Bolos e Chocolate,Café,Rua Dom Jorge da Costa,10A,,"Rua Dom Jorge da Costa, 10A",38.7105124,-9.208462,cake,https://www.gracaaraujo.com/
11876777504,Bubble Tea Factory,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6976962,-9.2025005,bubble_tea,
11876777507,DINAstia Selvagem,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6970833,-9.2022159,pizza,
11876777512,"Taberda de Belém "" Adamastor""",Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6972498,-9.2030236,Não especificada,
11876777513,Xi-Hu,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6972603,-9.2031142,chinese,
11876777516,Notalho,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6969355,-9.2020819,Não especificada,
11876777518,Roger's,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6969365,-9.2020205,Não especificada,
11878771926,Nogal do Restelo,Loja de Conveniência,Rua Duarte Pacheco Pereira,11A,,"Rua Duarte Pacheco Pereira, 11A",38.6984681,-9.218517,portuguese,
11878794856,Ouvi Dizer,Restaurante,Rua Duarte Pacheco Pereira,9D,,"Rua Duarte Pacheco Pereira, 9D",38.6984303,-9.2185681,portuguese,
11884016392,Galeria Food Store,Restaurante,Avenida da Ilha da Madeira,28C,,"Avenida da Ilha da Madeira, 28C",38.7057788,-9.2075771,Não especificada,
11885044768,Pomar de Belém,Loja de Conveniência,Rua dos Jerónimos,16,,"Rua dos Jerónimos, 16",38.6992422,-9.2053953,Não especificada,
11885081471,La Fóllia de Bélem,Restaurante,Rua dos Jerónimos,18,,"Rua dos Jerónimos, 18",38.6994618,-9.2054979,pizza,
11886704382,Pazzo Pizza,Restaurante,Avenida da Ilha da Madeira,,,Avenida da Ilha da Madeira,38.7080829,-9.2101313,pizza,
