DISTRITO,BAIRRO,END_COMPLETO,NUM_ENDERECO,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,COD_INDICADOR_ESTAB_ENDERECO
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.253917,-48.464398,BAR E RESTAURANTE TO NO TRABALHO,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.253437,-48.463848,GRACAS BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.255056,-48.465919,BAR 40 GRAUS,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,43,-1.254799,-48.465412,CRISTINA BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.254361,-48.464876,PANTOJAS BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,54,-1.255152,-48.46598,BAR DOS AMIGOS,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,53,-1.253975,-48.46448,MISTURA BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,41,-1.25489,-48.465573,BAR ONDA TROPICAL,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.254048,-48.464575,BAR E RESRUARANTE ENCANTOS DA SEREIA,1.0
DAICO,AGULHA,RODOVIA GOVERNADOR AUGUSTO MONTENEGRO,781,-1.30009,-48.471503,RESTAURANTE NA LENHA DA VOVO,1.0
DAICO,CAMPINA DE ICOARACI,RODOVIA GOVERNADOR AUGUSTO MONTENEGRO,0,-1.300739,-48.470304,RESTAURANTE,1.0
DABEN,UNA,RUA  DAS PALMEIRAS,0,-1.376924,-48.427211,BAR SEM IDENTIFICACAO,1.0
DAICO,PARQUE GUAJARA,RUA  MARIO ANDREAZA,105,-1.329045,-48.453673,RESTAURANTE DA JU,1.0
DAICO,TENONE,PASSAGEM SAO LUCAS,244,-1.319919,-48.441237,BAR DA VERA,1.0
DAOUT,SAO JOAO DO OUTEIRO,TRAVESSA NOSSA SENHORA DE NAZARE,150,-1.255493,-48.464918,BAR QUIT STOP,1.0
DAMOS,MURUBIRA,RUA ENGENHEIRO AUGUSTO MEIRA FILHO,340,-1.133358,-48.435637,RESTAURANTE,2.0
DAICO,CAMPINA DE ICOARACI,TRAVESSA  N CINCO,110,-1.297879,-48.468461,BAR GUERREIROS,1.0
DAICO,CAMPINA DE ICOARACI,AVENIDA  CONTORNO NORTE,35,-1.298812,-48.468635,RESTAURANTE DA ANA,1.0
DABEL,UMARIZAL,AVENIDA  PEDRO ALVARES CABRAL,307,-1.43846,-48.492047,CASA DE EVENTOS COLMEIA,1.0
DAOUT,AGUA BOA,AVENIDA  PAULO COSTA,0,-1.257771,-48.45015,RESTAURANTE MANA,1.0
DAOUT,AGUA BOA,ESTRADA  DO TUCUMAEIRA,0,-1.255013,-48.44839,BAR DA LATINHA,1.0
DAOUT,AGUA BOA,ESTRADA  DO TUCUMAEIRA,520,-1.255048,-48.44846,BAR DA LATINHA,1.0
DAICO,TENONE,PASSAGEM SAO SEBASTIAO,0,-1.325991,-48.446044,BAR SEM NOME ESPECIFICO,1.0
DASAC,SACRAMENTA,TRAVESSA  PIRAJA,653,-1.4213,-48.478647,CANAL BAR,1.0
DASAC,FATIMA,RUA  DOMINGOS MARREIROS,1798,-1.443943,-48.471665,DELLAS RESTAURANTE,1.0
DASAC,PEDREIRA,AVENIDA MARQUES DE HERVAL,0,-1.435979,-48.473411,RESTAURANTE,1.0
DAICO,AGULHA,RODOVIA  AUGUSTO MONTENEGRO,340,-1.300142,-48.474832,BAR CASA CARDOSO,1.0
DAGUA,JURUNAS,PASSAGEM  MARABA,86,-1.472717,-48.488273,BAR CASA PIO,1.0
DAGUA,JURUNAS,RUA SAO SILVESTRE,224,-1.472431,-48.487854,BAR GDB,1.0
DAGUA,JURUNAS,RUA SAO SILVESTRE,282,-1.471841,-48.487836,VERDE BAR,1.0
DAOUT,SAO JOAO DO OUTEIRO,RUA  BEIRA RIO,0,-1.258021,-48.469697,BAR FUNDO DE QUINTAL,1.0
